Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0800002T;Collège Millevoye;Collège;Public;38 boulevard Vauban;;;80100;80001;Abbeville;080;20;32;;;0;0;0;03 22 53 14 80;;;Ce.0800002T@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19800002800011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4230;50.10566312729737, 1.8399535646023661;SANS OBJET;Somme;Amiens;Hauts-de-France;616927.8;7001429.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Abbeville;50.10566312729737;1.8399535646023661;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800002T;;;0801201W;;;20806;PICARDIE MARITIME
0800027V;Collège Jules Roy;Collège;Public;16 rue du Général de Gaulle;BP 30007;;80150;80222;Crécy-en-Ponthieu;080;20;32;;;0;0;0;03 60 03 91 10;;;Ce.0800027V@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19800027500018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15504;50.25457115852328, 1.8876955086659621;SANS OBJET;Somme;Amiens;Hauts-de-France;620580.0;7017961.2;EPSG:2154;Circonscription d'inspection du 1er degré de Ponthieu-Marquenterre;50.25457115852328;1.8876955086659621;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800027V;;;0801446M;;;20806;PICARDIE MARITIME
0600018U;Collège Gaëtan Denain;Collège;Public;30 rue Saint-Joseph;;;60200;60159;Compiègne;060;20;32;;;0;0;0;03 44 36 34 00;;;Ce.0600018U@ac-amiens.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;REP;1;19600018600011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4179;49.410872621247876, 2.82072362679193;SANS OBJET;Oise;Amiens;Hauts-de-France;686985.8;6923503.8;EPSG:2154;Circonscription d'inspection du 1er degré de Compiègne;49.410872621247876;2.82072362679193;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0600018U;;;0601464R;;;20607;OISE ORIENTALE
0601292D;Collège Les Fontainettes;Collège;Public;35 route de Gisors;BP 09;;60650;60567;Saint-Aubin-en-Bray;060;20;32;;;0;0;0;03 44 04 55 50;;https://college-lycee.com/college-les-fontainettes/Saint-Aubin-en-Bray-0601292D;Ce.0601292D@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19601292600016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10351;49.433535188350554, 1.8939300748933678;SANS OBJET;Oise;Amiens;Hauts-de-France;619745.0;6926572.5;EPSG:2154;Circonscription d'inspection du 1er degré d'Auneuil;49.433535188350554;1.8939300748933678;Numéro de rue;1970-03-05;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601292D;;;0600096D;;;20608;OISE OCCIDENTALE
0601524F;Collège André Malraux;Collège;Public;2 rue André Malraux;;;60200;60159;Compiègne;060;20;32;;;0;0;0;03 44 20 42 44;;;Ce.0601524F@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP+;1;19601524200015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17595;49.39849706983318, 2.795549845978134;SANS OBJET;Oise;Amiens;Hauts-de-France;685154.8;6922131.4;EPSG:2154;Circonscription d'inspection du 1er degré de Compiègne;49.39849706983318;2.795549845978134;Numéro de rue;1976-01-15;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601524F;;;0601464R;;;20607;OISE ORIENTALE
0800022P;Collège du Bois l'Eau;Collège;Public;5 route de Ribeaucourt;BP 6;;80370;80086;Bernaville;080;20;32;;;0;0;0;03 60 03 92 20;;;Ce.0800022P@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19800022600011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12483;50.12997246818657, 2.1575432543848145;SANS OBJET;Somme;Amiens;Hauts-de-France;639698.6;7003848.1;EPSG:2154;Circonscription d'inspection du 1er degré de Doullens;50.12997246818657;2.1575432543848145;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800022P;;;0801447N;;;20805;AMIENS NORD
0800019L;Collège César Franck;Collège;Public;1 rue César Franck;;;80000;80021;Amiens;080;20;32;;;0;0;0;03 22 71 92 40;;https://college-cesar-franck-amiens.80.ac-amiens.fr/;Ce.0800019L@ac-amiens.fr;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;REP+;1;19800019200015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12669;49.91209371964029, 2.3100044963253885;SANS OBJET;Somme;Amiens;Hauts-de-France;650399.2;6979485.4;EPSG:2154;Circonscription d'inspection du 1er degré d'Amiens Nord;49.91209371964029;2.3100044963253885;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0801263N;;;0801198T;;;20805;AMIENS NORD
0601824G;Lycée Jeanne Hachette;Lycée;Public;31 boulevard Amyot d'Inville;;;60000;60057;Beauvais;060;20;32;;;1;1;0;03 44 06 73 73;;https://lgt-jeanne-hachette-beauvais.60.ac-amiens.fr/;ce.0601824g@ac-amiens.fr;1;1;0;1;0;1;0;1;0;0;1;0;0;0;1;;1;19600037600018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3474;49.435928704095936, 2.0819803168938127;SANS OBJET;Oise;Amiens;Hauts-de-France;633392.1;6926663.9;EPSG:2154;;49.435928704095936;2.0819803168938127;Numéro de rue;1987-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0601823F;;;;;;20608;OISE OCCIDENTALE
0601365H;Collège Phileas Lebesgue;Collège;Public;Rue des potiers;;;60690;60387;Marseille-en-Beauvaisis;060;20;32;;;0;0;0;03 44 13 37 37;;;Ce.0601365H@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19601365000011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8830;49.570489481563676, 1.9504305831246662;SANS OBJET;Oise;Amiens;Hauts-de-France;624046.9;6941753.7;EPSG:2154;Circonscription d'inspection du 1er degré de Grandvilliers;49.570489481563676;1.9504305831246662;Numéro de rue;1971-02-02;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601365H;;;0602086S;;;20608;OISE OCCIDENTALE
0021691C;Collège Saint-Just;Collège;Public;14 rue des Cordeliers;;;02200;02722;Soissons;002;20;32;;;0;0;0;03 23 59 93 90;;;Ce.0021691C@ac-amiens.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19021691100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14185;49.38276240166077, 3.325259763505805;SANS OBJET;Aisne;Amiens;Hauts-de-France;723624.4;6920410.3;EPSG:2154;Circonscription d'inspection du 1er degré de Soissons;49.38276240166077;3.325259763505805;Numéro de rue;1973-04-13;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021691C;;;0020214X;;;20029;SUD-AISNE
0021826Z;Collège Jean Rostand;Collège;Public;1 avenue de Blanchard;;;02400;02168;Château-Thierry;002;20;32;;;0;0;0;03 23 69 27 69;;;Ce.0021826Z@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP;1;19021826300019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.791;49.05854164952275, 3.38393437237485;SANS OBJET;Aisne;Amiens;Hauts-de-France;728061.4;6884365.5;EPSG:2154;Circonscription d'inspection du 1er degré de Château-Thierry;49.05854164952275;3.38393437237485;Numéro de rue;1977-02-24;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021826Z;;;0022106D;;;20029;SUD-AISNE
0800045P;Collège Charles Bignon;Collège;Public;7 rue Jean Jaurès;BP 90005;;80140;80606;Oisemont;080;20;32;;;0;0;0;03 22 25 10 67;;;Ce.0800045P@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19800045700012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4089;49.95596479157621, 1.770385286519071;SANS OBJET;Somme;Amiens;Hauts-de-France;611686.8;6984840.2;EPSG:2154;Circonscription d'inspection du 1er degré d'Amiens sud ouest;49.95596479157621;1.770385286519071;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800045P;;;0801197S;;;20806;PICARDIE MARITIME
0020024R;Collège Anne de Montmorency;Collège;Public;4 place de Wertingen;;;02130;02305;Fère-en-Tardenois;002;20;32;;;0;0;0;03 23 82 28 03;;https://college-anne-de-montmorency-fere-en-tardenois.02.ac-amiens.fr/;Ce.0020024R@ac-amiens.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;REP;1;19020024600014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3659;49.198904893242904, 3.5069395918693513;SANS OBJET;Aisne;Amiens;Hauts-de-France;736951.4;6900027.6;EPSG:2154;Circonscription d'inspection du 1er degré de Villers-Cotterêts;49.198904893242904;3.5069395918693513;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020024R;;;0022137M;;;20029;SUD-AISNE
0020039G;Collège Colbert Quentin;Collège;Public;51 avenue du Docteur Lemaire;;;02170;02558;Le Nouvion-en-Thiérache;002;20;32;;;0;0;0;03 23 97 55 55;;;Ce.0020039G@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;1;19020039400012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10266;50.010015248146175, 3.7837402781289144;SANS OBJET;Aisne;Amiens;Hauts-de-France;756231.3;6990449.1;EPSG:2154;Circonscription d'inspection du 1er degré de Guise;50.010015248146175;3.7837402781289144;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020039G;;;0020211U;;;20028;LAON HIRSON
0601847G;Collège Henry de Montherlant;Collège;Public;125 rue de Paris;BP 40;;60530;60450;Neuilly-en-Thelle;060;20;32;;;0;0;0;03 44 26 67 64;;https://college-montherlant-neuilly-en-thelle.fr/;Ce.0601847G@ac-amiens.fr;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;1;19600084800016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15486;49.215472441716486, 2.2812439945345706;SANS OBJET;Oise;Amiens;Hauts-de-France;647626.2;6901990.2;EPSG:2154;Circonscription d'inspection du 1er degré de Gouvieux;49.215472441716486;2.2812439945345706;Numéro de rue;1990-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601847G;;;0601503H;;;20606;OISE CENTRALE
0021593W;Collège Jacques Prévert;Collège;Public;11 rue Georges Brassens;;;02520;02315;Flavy-le-Martel;002;20;32;;;0;0;0;03 23 52 51 53;;;Ce.0021593W@ac-amiens.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19021593900017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5525;49.70809733369453, 3.1950894177950366;SANS OBJET;Aisne;Amiens;Hauts-de-France;714080.4;6956579.9;EPSG:2154;Circonscription d'inspection du 1er degré de Chauny;49.70809733369453;3.1950894177950366;Numéro de rue;1971-02-02;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021593W;;;0020207P;;;20027;SAINT QUENTIN - CHAUNY
0801900F;Lycée polyvalent de l'Authie;Lycée;Public;20 rue de Routequeue;;;80600;80253;Doullens;080;20;32;;;1;1;1;03 22 77 72 00;;https://lpo-de-lauthie-doullens.80.ac-amiens.fr/;Ce.0801900F@ac-amiens.fr;1;1;0;0;0;1;0;1;0;0;1;0;0;1;1;;1;19800055600011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13231;50.14951170295078, 2.3556124987819347;SANS OBJET;Somme;Amiens;Hauts-de-France;653893.4;7005890.3;EPSG:2154;;50.14951170295078;2.3556124987819347;Numéro de rue;1993-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0800029X;;;;;;20805;AMIENS NORD
0021659T;Collège Jean Mermoz;Collège;Public;Rue Léon Blum;;;02200;02064;Belleu;002;20;32;;;0;0;0;03 23 75 56 30;;;ce.0021659T@ac-amiens.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19021659800010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2801;49.36236277690362, 3.3347043660171196;SANS OBJET;Aisne;Amiens;Hauts-de-France;724320.0;6918143.7;EPSG:2154;Circonscription d'inspection du 1er degré du Soissonnais;49.36236277690362;3.3347043660171196;Rue;1972-01-19;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021659T;;;0021771P;;;20029;SUD-AISNE
0601446W;Collège Clotaire Baujoin;Collège;Public;2 rue Charlemagne;;;60150;60636;Thourotte;060;20;32;;;0;0;0;03 44 76 02 66;;;Ce.0601446W@ac-amiens.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19601446800017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1197;49.48019238746851, 2.8743697936460304;SANS OBJET;Oise;Amiens;Hauts-de-France;690892.4;6931208.8;EPSG:2154;Circonscription d'inspection du 1er degré de Margny Les Compiègne;49.48019238746851;2.8743697936460304;Numéro de rue;1973-03-09;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601446W;;;0600100H;;;20607;OISE ORIENTALE
0601424X;Collège Condorcet;Collège;Public;9 bis rue du Petit Chantilly;BP 50;;60510;60103;Bresles;060;20;32;;;0;0;0;03 44 07 90 06;;;Ce.0601424X@ac-amiens.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19601424500019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3751;49.40963342531509, 2.244690102299078;SANS OBJET;Oise;Amiens;Hauts-de-France;645169.3;6923613.4;EPSG:2154;Circonscription d'inspection du 1er degré de Beauvais Nord;49.40963342531509;2.244690102299078;Numéro de rue;1972-06-05;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601424X;;;0602075E;;;20606;OISE CENTRALE
0801439E;Collège Jean Moulin;Collège;Public;Rue Léon Blum;CS 40030;;80110;80570;Moreuil;080;20;32;;;0;0;0;03 22 35 37 40;;;Ce.0801439E@ac-amiens.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19801439100017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15491;49.77715587812668, 2.4759622065556375;SANS OBJET;Somme;Amiens;Hauts-de-France;662229.3;6964373.9;EPSG:2154;Circonscription d'inspection du 1er degré de Montdidier;49.77715587812668;2.4759622065556375;Rue;1972-01-20;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0801439E;;;0801204Z;;;20807;SANTERRE SOMME
0601192V;Collège Sonia Delaunay;Collège;Public;Place des Tertres;;;60270;60282;Gouvieux;060;20;32;;;0;0;0;03 44 57 18 43;;;Ce.0601192V@ac-amiens.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;1;19601192800013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13633;49.18975811913847, 2.410143536794917;SANS OBJET;Oise;Amiens;Hauts-de-France;656997.2;6899052.2;EPSG:2154;Circonscription d'inspection du 1er degré de Gouvieux;49.18975811913847;2.410143536794917;Rue;1969-09-20;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601192V;;;0601503H;;;20606;OISE CENTRALE
0800050V;Collège Gaston Boucourt;Collège;Public;63 route de Cambrai;;;80240;80677;Roisel;080;20;32;;;0;0;0;03 22 53 15 70;;;Ce.0800050V@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;19800050700014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15949;49.95186812323114, 3.1037303023052067;SANS OBJET;Somme;Amiens;Hauts-de-France;707451.0;6983701.4;EPSG:2154;Circonscription d'inspection du 1er degré de Péronne;49.95186812323114;3.1037303023052067;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800050V;;;0801203Y;;;20807;SANTERRE SOMME
0020044M;Collège Quentin de la Tour;Collège;Public;Rue du Général de Gaulle;;;02120;02668;Sains-Richaumont;002;20;32;;;0;0;0;03 23 60 92 51;;https://college-quentin-de-la-tour-sains-richaumont.02.ac-amiens.fr;Ce.0020044M@ac-amiens.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;19020044400015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9896;49.824426940069024, 3.706205342043718;SANS OBJET;Aisne;Amiens;Hauts-de-France;750853.3;6969737.5;EPSG:2154;Circonscription d'inspection du 1er degré de Guise;49.824426940069024;3.706205342043718;Rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021689A;;;0020211U;;;20028;LAON HIRSON
